trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-167.43542238601833,"{0: 7, 1: 1, 2: 9, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-157.8219223749994,"{0: 10, 1: 4, 2: 9, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-169.64540184016388,"{0: 15, 1: 0, 2: 5, 3: 3, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-240.0641093004477,"{0: 11, 1: 4, 2: 5, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.18963788389044,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.31428494137312,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.48403573589873,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,6,-14.752230935477472,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-165.85584291453497,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-42.61576139510412,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-23.632579678227916,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-185.37118544922401,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.9787071219207,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",35,0,-205.058066266519,"{0: 18, 1: 5, 2: 8, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-166.72904900448543,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-185.50592759757694,"{0: 19, 1: 2, 2: 4, 3: 2, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-28.030125522722606,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-212.7705354217953,"{0: 17, 1: 6, 2: 3, 3: 0, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-112.90865634963264,"{0: 10, 1: 5, 2: 10, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-159.427401046866,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.36027411685441,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
